,Title,Author,Call_Number,Year,Type,Subject
26, Elementos de agricultura y zootecnia [Texto impreso],"Lecanda Chaves, Augusto",1/64574,1875,Monographs,Técnicas agrícolas
27," Guía del cultivador [Texto impreso] : manual de agricultura, ganadería y economía rural","Aragó, Buenaventura m. 1898",1/42345,1876,Monographs,Técnicas agrícolas
29, Cultivo de las estepas y las dunas de la provincia de Cádiz [Texto impreso],"Cerón, Salvador 1828-1897",1/22738,1877,Monographs,Técnicas agrícolas
30," Tratado completo de agricultura moderna [Texto impreso] : enciclopedia de las teorías y buenas prácticas que debe conocer todo labrador, propietario rural, ganadero, hortelano, etc","Vicuña, Gumersindo 1840-1890",1/81283,1877,Monographs,Técnicas agrícolas
31," El agricultor, horticultor, jardinero e higienista agricola cubano [Texto impreso] : contiene el cultivo práctico y científico de la caña, tabaco, café, algodón, cacao, granos, viandas, etc., etc","Nobiatur, J. F.",2/31793,1878,Monographs,Técnicas agrícolas
32, Manual de cultivos agrícolas [Texto impreso],"Plá y Rave, Eugenio",12/889767,1879,Monographs,Técnicas agrícolas
33, Elementos de agricultura [Texto impreso],"Serra y Navarro, Mariano",4/37811,1879,Monographs,Técnicas agrícolas
34, Lecciones de agricultura aplicadas a la isla de Cuba [Texto impreso],"Pruna Santa Cruz, Manuel",HA/14976,1879,Monographs,Técnicas agrícolas
36, Nociones generales de agricultura [Texto impreso],"Benito y López, Galo de 1848-1902",1/81478,1880,Monographs,Técnicas agrícolas
37, Treinta y una veladas [Texto impreso] : principios elementales sobre el cultivo cubano para el uso de la juventud cubana,"Lachaume, Jules",HA/10353,1880,Monographs,Técnicas agrícolas
38, Cartilla agrícola,"Vera, Vicente 1855-1934",1/44029,1882,Monographs,Técnicas agrícolas
39, Cartilla razonada de agricultura española escrita para los alumnos de enseñanza elemental [Texto impreso],"Moreno, Luis s. XIX",VC/288/9,1882,Monographs,Técnicas agrícolas
40, Tesoro del agricultor cubano [Texto impreso] : métodos para el cultivo de las principales plantas propias del clima de la isla de Cuba,"Balmaseda, Francisco Javier 1833-1907",1/53911,1885,Monographs,Técnicas agrícolas
41, El labrador español [Texto impreso] : ¡un pasito adelante!,"Martínez Ballesteros, Miguel",7/19327,1886,Monographs,Técnicas agrícolas
42, Lecciones elementales de agricultura [Texto impreso] : extractadas de las explicaciones de cátedra,"López Vidaur, Aurelio",1/46134,1886,Monographs,Técnicas agrícolas
43, Cartilla de agricultura [Texto impreso],"Cortés y Morales, Balbino 1807-1889",Jan-71,1886,Monographs,Técnicas agrícolas
44," Nociones de agricultura teórico-práctica con aplicación al clima, constitución geognóstica y cultivos especiales de las Antillas [Texto impreso]","Riera, Benito José",10/190907,1888,Monographs,Técnicas agrícolas
45, Cultivo de las avenas voladoras por medio de navazos [Texto impreso],"Cerón, Salvador 1828-1897",1/32357(6),1888,Monographs,Técnicas agrícolas
46, Compendio de agricultura [Texto impreso],"Subirá y Nicolau, Jaime",1/47802,1888,Monographs,Técnicas agrícolas
47, Manual de agricultura práctica para la provincia de Oviedo dedicado a los cultivadores asturianos [Texto impreso],"González Llana, José 1806-1889",1/46178,1889,Monographs,Técnicas agrícolas
48, Tratado elemental de agricultura [Texto impreso],"Benito y López, Galo de 1848-1902",4/25407,1891,Monographs,Técnicas agrícolas
49, Elementos de agricultura [Texto impreso] : nociones teórico-prácticas,"Juan y Ponsoda, Salvador de",2/38481,1894,Monographs,Técnicas agrícolas
50, Elementos de agricultura : nociones teórico practicas [Texto impreso],"Juan y Ponsoda, Salvador de",1/47880,1894,Monographs,Técnicas agrícolas
51," Descripción de los cultivos que se practican en las llamadas %5C%5C""fincas%5C%5C"" en la isla de Fernando Poó, y otros que se practican en Filipinas y ensayan en dicha isla, con un proyecto de secadero-almacén, secadero y lavadero para el cacao y el café [Texto impreso]","Ruiz y Albaya, José",2/56139,1898,Monographs,Técnicas agrícolas
52, Enciclopedia agrícola e industrial [Texto impreso] : folletín de la Revista Vinícola y de Agricultura,NA,Jun-46,1898,Monographs,Técnicas agrícolas
53, Lecciones elementales de fitotecnia especial y zootecnia [Texto impreso],"Requejo, Federico 1854-1915",1/29254,1900,Monographs,Técnicas agrícolas
54, Catecismo de Agricultura [Texto impreso],"González, R. G.",1/248944,1902,Monographs,Técnicas agrícolas
55, El problema del pan : solución de la crisis agrícola por aumento y abaratamiento de la producción,"San Bernardo, Manuel Mariátegui y Vinyals, Conde de m. 1905",6/8601&lt;8&gt;,1903,Monographs,Técnicas agrícolas
56, Elementos de Agricultura y Técnica agrícola [Texto impreso],"Requejo, Federico 1854-1915",1/423,1903,Monographs,Técnicas agrícolas
57, Elementos de Agricultura y Técnica agrícola é industrial [Texto impreso],"Fernández-Castañeda y Valle, Jaime",1/18523,1904,Monographs,Técnicas agrícolas
58," La Hacienda [Texto impreso] : revista mensual sobre agricultura, ganadería e industrias rurales",Hacienda (Buffalo),AHS/31125,1905,Newspapers/Magazines,Técnicas agrícolas
59, Hojas divulgadoras [Texto impreso],Hojas divulgadoras (Ministerio de Fomento),Z/1463,1907,Newspapers/Magazines,Técnicas agrícolas
60, Agricultura y técnica agrícola é industrial [Texto impreso],"López Vidaur, Aurelio",1/46995,1908,Monographs,Técnicas agrícolas
61, En el campo : lecturas educativas y ordenadas sobre agricultura racional : segundo grado,"Bueno, Ángel fl. 1888-1915",DL/2131981,1908,Monographs,Técnicas agrícolas
62, En el campo : lecturas educativas y ordenadas sobre agricultura racional : primer grado,"Bueno, Ángel fl. 1888-1915",Jun-55,1910,Monographs,Técnicas agrícolas
63, Nociones de técnica agrícola é industrial [Texto impreso],"Herrer y Muñoz, Francisco",1/61043,1911,Monographs,Técnicas agrícolas
64, Hojas divulgadoras [Texto impreso],Hojas divulgadoras,D/6469,1912,Newspapers/Magazines,Técnicas agrícolas
65, Los sistemas de cultivo en sus relaciones con la economia rural de España [Texto impreso],"Fernández de la Rosa, Gumersindo 1834-1919",VC/473/36,1912,Monographs,Técnicas agrícolas
67," La fitotecnia general ; su importancia [Texto impreso] : Conferencia dada en el Círculo de la Vnión Mercantil en la noche del 23 de Marzo de 1913, en Talavera de la Reina","Leyva y Suárez, Enrique de",VC/478/11,1913,Monographs,Técnicas agrícolas
68, Nociones de agricultura y técnica agrícola [Texto impreso],"Tortosa y Picón, Mariano m.1919",1/69947,1915,Monographs,Técnicas agrícolas
69, Elementos de Técnica Agrícola e Industrial [Texto impreso],"Beltrán Barroso, Andrés",2/74152,1915,Monographs,Técnicas agrícolas
70, Elementos de agricultura,"Alorda Sampol, Jaime",1/75109,1917,Monographs,Técnicas agrícolas
72, Agricultura y técnica agricola [Texto impreso] : Notas para un tratado elemental de Fitotecnia y Economia Rural,"García Fando, Rafael",1/79267,1921,Monographs,Técnicas agrícolas
73, Nociones de agricultura y técnica agrícola [Texto impreso],"Tortosa y Picón, Mariano m.1919",1/79936,1922,Monographs,Técnicas agrícolas
74," Las bases científicas de la Fitotécnia [Texto impreso] : un texto para agrónomos, horticultores y selvicultores","Baur, Erwin 1875-1933",HA/5579,1925,Monographs,Técnicas agrícolas
75, El campo,"Coloma, Jesús R. n. 1874",10/160983,1929,Monographs,Técnicas agrícolas
76, Hojas divulgadoras [Texto impreso],Hojas divulgadoras (Ministerio de Economía Nacional),Z/1463,1929,Newspapers/Magazines,Técnicas agrícolas
77, Tratado de agricultura [Texto impreso],"Schlipf, J. A.",12/264526,1929,Monographs,Técnicas agrícolas
0," En el pleyto que v. m. tiene visto de la ciudad de Malaga, con Ioan de Aluarado depositario q̄ fue del posito della",Concejo de Málaga,PORCONES/76/17,1550,Monographs,Cereales
1," La pregmatica del Pan [Texto impreso] : La pregmatica que su Magestad ma[n]do hazer este presente año de Mil y quinientos y cinque[n]ta y ocho, sobre los precios a que se ha de vender en estos Reynos el pa[n] Trigo, Ceuada y ce[n]teno y auena y panizo",España,R/14090(22),1558,Monographs,Cereales
2," La pregmatica del Pan : La pregmatica que su Magestad ma[n]do hazer este presente año de Mil y quinientos y cinque[n]ta y ocho, sobre los precios a q[ue] se a de vender en estos Reynos el pan Trigo Ceuada Centeno Auena y Panizo",España,R/15431(5),1558,Monographs,Cereales
3," La pragmatica que su Magestad mando hazer el año de mil y quinientos y cinquenta y ocho sobre los precios a que se ha de vender en estos reynos el pan, trigo, ceuada, ce[n]teno, auena y panizo, y la declaracion que despues se hizo acerca del precio que se ha de lleuar de porte por cada hanega [Texto impreso]",España,R/14090(41),1567,Monographs,Cereales
4," Prouision Real de su Magestad sobre el precio del pan, en que se declara la Prematica del año de cincuenta y ocho en lo que toca a como se ha de vender la ceuada desde en fin de Mayo de sesenta y siete en adelante [Texto impreso]",España Rey (1556-1598: Felipe II),R/14090(40),1567,Monographs,Cereales
5," Don Francisco Lopez de Rio, en el pleyto con el fiscal y denunciadores, porque el fiscal pone toda su fuerça en el capitulo de Cifuentes, conuencido que en los demas no tiene prouanza ni rastro de justicia, para condenar a don Francisco","López de Río, Francisco demandante",PORCONES/528(25),1595,Monographs,Cereales
6," Alonso de Roa alguazil mayor de Soria, y Francisco de Auila alguazil de la tierra della. Con don Francisco Lopez de Rio alferez mayor de la tierra della","Roa, Alonso de demandante",PORCONES/528(24),1596,Monographs,Cereales
7," Prematicas que han salido este año de mil y quinientos y nouenta y ocho, publicadas en veyntiquatro dias del mes de Iulio del dicho año",España,R/26207(9),1598,Monographs,Cereales
8," En este pleyto del fiscal de Su Magestad, y Iuan Fernandez Arnero, Alguazil que fue de Ciudadrodrigo. Con Manuel Martinez Dormido, vezino de la dicha ciudad",Consejo Real de Castilla Fiscal demandante,PORCONES/569(15),1622,Monographs,Cereales
9," Por la ciudad de Cartagena, Iusticia y Regimiento della. Con Duarte Coronel Enriquez, Arrendador que se dize de los puertos secos entre los Reynos de Castilla, y los de Aragon, Valencia, y Nauarra. Y con el señor Fiscal, que ha salido a esta causa",Cartagena Ayuntamiento,PORCONES/1442/54,1634,Monographs,Cereales
10," Parecer del doctor Francisco Moreno, Calificador del Santo Oficio de la Inquisicion, y Teniente de Limosnero Mayor de su Magestad : sobre el medio de las moliendas","Moreno, Francisco",VE/186/43,1650,Monographs,Cereales
11, Por el Conuento de Sª Maria de las Cueuas extramuros de esta ciudad con los Marqueses de Cardeñosa y Valenzina ... [por una licencia de molienda de trigo],Cartuja de Santa María de las Cuevas (Sevilla),PORCONES/51/28,1653,Monographs,Cereales
12," Espicilegio de la calidad, y utilidades del trigo que comunmente llaman blanquillo con repuesta á las razones que los prothomedicos desta Corte alegaron contra él","Lima y Escalada, Ambrosio de autor",VE/167/25,1692,Monographs,Cereales
13," Don Phelipe por la gracia de Dios Rey de Castilla, de Leon, de Aragon ... A vos a los nuestros Corregidores de las Ciudades del distrito, y jurisdiccion de la nuestra Audiencia, y Chancilleria de Granada, salud y gracia: Sabed que el Licenciado Don Luis Curiel y Tejada, Cavallero del Orden de Santiago nuestro Fiscal, nos representò, que estando prevenido, y mandado por los capitulos de la Instruccion de Corregidores que cuydassen con particular atencion de los Positos, y conservacion, y aumento",España jurisdicción promulgadora,VE/471/101,1708,Monographs,Cereales
14," Don Phelipe por la gracia de Dios Rey de Castilla, de Leon, de Aragon ... A vos a los nuestros Corregidores del nuestro Reyno de Andalucia salud, y gracia. Sabed: Que Don Luis Curiel y Texada, Cavallero del Orden de Santiago, nuestro Fiscal, nos representò, que aviendo crecido el precio de los granos en todo esse Reyno con grande excesso, por la suma esterilidad de este año",España jurisdicción promulgadora,VE/471/98,1708,Monographs,Cereales
15," Copia de representacion hecha en el año de 1700 : sobre providencia de granos para el abasto del reyno, especialmente de la corte","Martín, Manuel José fl. 1757-1785 impresor",VE/383/33,1715,Monographs,Cereales
16," Despacho por orden de José de Anaya, para que se cumpla la Pragmática de 17 de agosto de 1699, que fue sobrecartada por Felipe V, referente al precio de los granos. Sevilla, 1 de agosto de 1730","Ripalda, Conde de fl. 1730",MSS/11266/71,1730,Manuscripts and Personal Archives,Cereales
17," Don Phelipe, por la gracia de Dios, Rey de Castilla ... Sabed, es llegado à nuestra noticia, que con ocasion de la sequìa, y falta de agua, que se experimenta, especialmente en los Reynos de Andalucìa, se han propassado las Justicias, y otras personas poderosas à retener los Granos",España,VE/405/88,1734,Monographs,Cereales
18," Instrucción, que deberan observar los Corregidores, y demàs Justicias de las Ciudades, Villas, y Lugares de estos Reynos, para el Registro General de Trigo, y demàs granos de las Cosechas que estàn cogiendo",España Rey (1700-1746: Felipe V),R/23729(18),1734,Monographs,Cereales
19," Instrucción del Gobernador del Consejo de Castilla, a los corregidores y demás justicias, sobre los registros de granos que han de observar, haciendo guardar la tasa de los precios de la Pragmática del año 1699. Madrid, 12 de julio de 1734",Consejo Real de Castilla,MSS/11266/70,1734,Manuscripts and Personal Archives,Cereales
20," Don Phelipe, por la Gracia de Dios, Rey de Castilla, de Leon, de Aragon ... Sabed, que por los del nuestro Consejo, en distintos tiempos se han dado diferentes ordenes, y providencias, à fin de que se reintegren los Positos de los Pueblos de estos nuestros Reynos, y Peninsula de España de las cantidades de Granos, y maravedis, que segun sus fundaciones, y dotaciones deben tener, con mas el aumento que han tenido por las creces  de lo que se ha prestado",España jurisdicción promulgadora,VE/464/19,1735,Monographs,Cereales
21," Copia de Real Provision del Consejo, inserto el Real Decreto de su S. M: sobre extraccones de granos",España,VE/404/76,1735,Monographs,Cereales
22," Don Joseph de Contamina, del Consejo de su Mag. ... que en virtud de Real Orden, sirve la Intendencia General de este Exercito, y Principado de Cathaluña, y Rentas Agregadas. Respecto de haverse  representado por el Arrendatario del Real derecho de Cops, el bayle, y demás interessados ... se repite el Edicto de de [sic] veinte de Octubre de mil setecientos treinta y dos, que es del thenor siguiente. Don Antonio de Sartine , conde de Albi ... Aunque por Edicto mandado publicar por mi antecessor, en catorze de Febrero del año passado de mil setecientos ceinte y seis, se arreglaron diferentes ordinaciones concernientes al cobro del Real derecho de quartera nombrado de Cops",España Superintendencia General de Cataluña,R/45060(41),1744,Monographs,Cereales
23," Don Joseph de Contamina ... Intendente General de este Exercito, y Principado de Cathaluña. Por quanto he recibido una Real Resolucion comunicada por el Señor Marquès de Villarias con carta de 30 del passado, que es del thenor siguiente. Conviniendo al Servicio del Rey, y al de la Causa publica se observen en toda su fuerza ... las resoluciones antecedentes ... prohibiendo la extraccion de Granos para fuera del Reyno",España Superintendencia General de Cataluña,R/45060(45),1747,Monographs,Cereales
24, Pragmáticas y Reales Cédulas sobre trigo [Manuscrito],España,MSS.MICRO/11533,1750,Manuscripts and Personal Archives,Cereales
25," En la Ciudad de Palma ... los Señores Presidente, Regente, y Ohydores de la Real Audiencia ... deseando hallar medio proporcionado, y equitativo paraque [sic] la abundancia de los granos ... no se malbarate ... [Texto impreso]",España Real Audiencia de Mallorca,R/23913(34),1754,Monographs,Cereales
26," Dos discursos sobre el govierno de los granos, y cultivo de las tierras","Herbert, Claude-Jacques",2/68073(1),1755,Monographs,Cereales
27," Don Fernando, por la gracia de Dios, rey de Castilla, de Leon, de Aragon ... Sabed, que en el nuestro Consejo se han publicado ... y mandado cumplir dos resoluciones ... sus fechas diez y seis, y veinte y tres de este presente mes, por los quales ... hà tenìdo à bien permitir la libre extraccion, por mar, y tierra, de granos, vinos, y aguardientes, sin que sea necessario, que los extractores saquen licencias de las justicias, guias, ni tornaguias",España jurisdicción promulgadora,VE/477/48,1756,Monographs,Cereales
28," Don Luis Gonzales de Alvelda Marques de Cayro, Baron de Alvelda … Governador, y Capitan General del Exercito, Reyno de Mallorca, è Islas adjacentes, y Presidente de la Real Audiencia, Regente, y Ohidores de ella &amp;c. Por quanto el Rey ... se ha servido permitir la libre extraccion por Mar, y Tierra de Granos, Vinos, y Aguardientes, en la conformidad, que expressa la Real Provision, que ... dize assi",España Real Audiencia de Mallorca,VE/476/66,1756,Monographs,Cereales
29," Don Francisco de Pineda Intendente de los Exercitos de su Magestad, de su Consejo, Intendente General del Exercito, y Reyno de Mallorca, Corregidor de la Ciudad de Palma, y su districto, y Superintendente General de Rentas &amp;c. Por quanto el Excelentissimo Señor Marques de Squilace, con fecha de doce de Agosto mas cerca vencido, comunica à esta Intendencia la Real Orden del tenor siguiente. Enterado el Rey de la escaza Cosecha de Granos que ha padecido esse Reyno",España Intendencia del Ejército y Reino de Mallorca autor,VE/489/18,1761,Monographs,Cereales
0," Carta instructiva sobre el cultivo de los olivos, que dirigió a la Real Sociedad Aragonesa Don Vicente Martinez, cura párroco de Inogés ... ; vá al fin otra carta sobre los empeltres, segun la práctica de Zaragoza","Martínez, Vicente (sacerdote)",3/33224(8),1785,Monographs,Árboles frutales
1," Instrucciones que se imprimen de orden del Consejo para la extincion del gusano llamado Arañuelo ó Roya, que infesta los manzanos y árboles frutales de la Vega de Daroca, y otras del Reyno de Aragon","Sancha, Antonio de 1720-1790 impresor",VE/380/19,1786,Monographs,Árboles frutales
2," El Jardinero instruido ó Tratado físico de la vegetacion, cultivo y poda de los arboles frutales ... [Texto impreso]","Sampil, José Antonio 1756-1829",2/15385,1798,Monographs,Árboles frutales
3," Catálogo de árboles frutales y de rosales ingertos [sic] criados en la Torre de los Señores Campillo, sita en el término de Sobrecarrera de la ciudad de Daroca [Texto impreso]",Viveros Torre de los Señores Campillo (Daroca),VC/2564/105,1878,Monographs,Árboles frutales
4," Catálogo de árboles frutales, de rosales ingertos y de otras varias plantas : criados en la torre de los señores Campillo sita en el término de Sobrecarrera de la ciudad de Daroca : núm. 2",Imprenta de la Viuda é Hijo de D. E. Aguado impresor,DL/2370194,1881,Monographs,Árboles frutales
5, Manual de podas e ingertos [sic] de árboles frutales y forestales,"Jordana y Morera, Ramón 1839-1900",BU/12336,1882,Monographs,Árboles frutales
6," Catálogo de árboles frutales, forestales y de adorno, de arbustos, en especial de rosales y de otras plantas de jardín y de invernadero : criados en la colonia de los señores D.M. y D.T. del Campillo, sita en los términos de Daroca (Aragón). Núm. 3",Viveros Torre de los Señores Campillo (Daroca),VC/2816/17,1885,Monographs,Árboles frutales
7," Catálogo de árboles frutales, forestales y de adorno, de arbustos, en especial de rosales y de otras plantas de jardín y de invernadero [Texto impreso] : criados en la colonia de los señores D.M. y D.T. del Campillo, sita en los términos de Daroca (Aragón)",Viveros Torre de los Señores Campillo (Daroca),5/48877,1893,Monographs,Árboles frutales
8, Catalogo aproximado de plantas y semillas [Texto impreso] : temporada de 1897 a 1898,Jardin de Aclimatacion de Madrid,VC/2884/62,1897,Monographs,Árboles frutales
9," Granja de San Juan [Texto impreso] : gran establecimiento de agricultura y arboricultura ..., cultivos en grande escala de toda clase de árboles frutales, así como forestales, para carreteras, paseos y parques",Granja de San Juan (Zaragoza),VC/2482/21,1897,Monographs,Árboles frutales
10, Catálogo de plantas y árboles [Texto impreso],Granja del Atanor,VC/2663/39,1897,Monographs,Árboles frutales
11, Los abonos en arboricultura y en viticultura [Texto impreso],"Barcia y Trelles, Juan 1887-1953",6/8536&lt;3&gt;,1909,Monographs,Árboles frutales
1," El gran tesoro escondido en las viñas hallado con la particular direccion de cultivo que se practica en Sicilia en las comarcas de Mazarino [Texto impreso]  : por cuyo medio se logra un copiosisimo fruto, y una larguisima duracion de las vides","María, Pedro Pablo de",R/39923,1777,Monographs,Viticultura
5, Memoria sobre el cultivo de la vid en Sanlucar de Barrameda y Xerez de la Frontera [Texto impreso],"Boutelou, Esteban 1776-1813",Jan-74,1807,Monographs,Viticultura
6, Arte de hacer el vino para la Lombardía y métodos prácticos para sacar los mejores vinos toscanos ... : pero con reglas generales adoptables á toda suerte de posesiones,"Fabroni, Adam",Jan-08,1807,Monographs,Viticultura
7," Coleccion de lo mas indispensable y preciso para el cultivo de la viña [Texto impreso] : y modo de hacer, y gobernar el vino","Muruaga, Domingo de",2/32391,1830,Monographs,Viticultura
8," Tratado práctico general del cultivo de la vid y enología, o arte de hacer el vino [Texto impreso]","García de la Puerta, Agustín",1/81404,1836,Monographs,Viticultura
9, Memoria sobre la plantación y cultivo de la vid y varias clases de arbolados de Córdoba y pueblos de su provincia [Texto impreso],"Luque, Miguel de",VC/2536/51,1843,Monographs,Viticultura
10, Observaciones sobre el cultivo de la vid en Galicia [Texto impreso],"Casares, Antonio 1812-1888",Jan-56,1843,Monographs,Viticultura
11," Nuevo arte de hacer vinos, o sea, tratado completo sobre el cultivo de las viñas [Texto impreso]",J. A. H. de J.,Jan-54,1847,Monographs,Viticultura
12, Discurso leído por Ramón Ayala y Sipán en la Universidad Central en el acto solemne de recibir la investidura de doctor en la Facultad de Farmacia [Texto impreso],"Ayala y Sipán, Ramón",VC/461/59,1853,Monographs,Viticultura
13, Manual del cosechero de vinos [Texto impreso] : o nuevo método de hacer el vino mas fuerte f(sic) licoroso y de mayor duración,"Nieva, José María de",Jan-75,1854,Monographs,Viticultura
14, Arte de hacer vinos [Texto impreso] : manual teórico práctico del arte de cultivar las viñas,"Bustamante, Nicolás de",Jan-87,1858,Monographs,Viticultura
15, Tratado sobre el cultivo de la vid y elaboracion de vinos [Texto impreso] : lecciones dadas en el Ateneo de esta Corte en los años académicos de 1860 en 1861 y de 1861 en 1862,"Blanco Fernández, Antonio m. 1873",Jan-47,1863,Monographs,Viticultura
16," Informe de la Sociedad Económica Matritense relativo a la necesidad de fomentar en España el cultivo de la vid, la buena fabricación y el comercio exterior de los vinos, proponiendo al efecto los medios convenientes [Texto impreso]",Real Sociedad Económica Matritense de Amigos del País,HA/15443(13),1867,Monographs,Viticultura
17," Viticultura y enología españolas, o Tratado sobre el cultivo de la vid y los vinos de España [Texto impreso]","Castellet, Buenaventura 1825-1890",Jan-53,1869,Monographs,Viticultura
18," A las Córtes soberanas de la Nación [de los %5C%5C""rabasers de Cataluña%5C%5C""]",NA,VC/2811/33,1870,Monographs,Viticultura
19, Tratado completo sobre el cultivo de la vid y elaboración de vinos de todas clases [Texto impreso] : adicionado con una guía práctica de la fabricación de las sidras y cervezas,"Aragó, Buenaventura m. 1898",Jan-89,1871,Monographs,Viticultura
20," Tratado sobre el cultivo de la vid y la elaboración de los vinos fundado en lo que aconseja la teoría, establece la práctica e indica la naturaleza [Texto impreso]","Chiarlone, Quintín 1814-1874",Jan-83,1871,Monographs,Viticultura
21, Guía razonada del cultivador de viñas y cosechero de vinos [Texto impreso],"Navarro Soler, Diego",Jan-07,1875,Monographs,Viticultura
22," Notas para la cartera del viticultor o fabricante de vinos, cervezas y licores [Texto impreso]","Calvo y Teruel, José María F.",1/42839,1879,Monographs,Viticultura
23, Informe acerca de las cepas de los Estados-Unidos de América [Texto impreso] : consideradas bajo el punto de vista de los recursos que pueden prestarnos para la repoblación de los viñedos destruidos por la filoxera,"Trémols y Borrell, Federico 1831-1900",1/73256,1881,Monographs,Viticultura
24, Tratado del cultivo de la vid y vinificación [Texto impreso],"Guyot, Jules 1807-1872",1/35146,1881,Monographs,Viticultura
25, Australia [Texto impreso] : noticia sobre la Nueva Gales del Sur,"Bonnard, Enrique Eduardo",VC/351/36,1882,Monographs,Viticultura
26, Cartilla vinícola [Texto impreso] : compendio dialogado que comprende las reglas que deben seguirse para el cultivo de las viñas y fabricación y mejoramiento de los vinos,"Berástegui, Fermín 1853-1891",1/255,1884,Monographs,Viticultura
27," El libro del viticultor [Texto impreso] : breve resumen de las práticas más útiles para cultivar las viñas y fabricar buenos vinos, producción y comercio vinícola, clasificación y sinonimia de las vides","Abela y Sainz de Andino, Eduardo 1836-1908",1/47678,1885,Monographs,Viticultura
28," Ley de Defensa Contra la Filoxera, promulgada en 18 de Junio de 1885 [Texto impreso] : (Publicada en la Gaceta de Madrid del 2 de Julio de 1885)",España,VC/13292/4,1886,Monographs,Viticultura
29," Viticultura y enología españolas, o Tratado sobre el cultivo de la vid y los vinos de España [Texto impreso]","Castellet, Buenaventura 1825-1890",1/27269,1886,Monographs,Viticultura
30, Informe sobre la crisis actual de las industrias pecuaria y viti-vinícola [Texto impreso],NA,VC/15572/3,1887,Monographs,Viticultura
31, Cartilla vinícola [Texto impreso] : premiada en el Concurso Nacional verificado en virtud de Real Orden de 28 de abril de 1887,"Sánchez y Rubio, Eduardo",1/71713,1888,Monographs,Viticultura
32," Manual de viticultura y vinificación teórico práctico y al alcance de todos [Texto impreso] : o sea, resumen de los últimos adelantos de cuanto concierna al cultivo de la vid y a la elaboración, curación y conservación de toda clase de vinos","Sales y Seguí, Blas",1/47059,1889,Monographs,Viticultura
33, España Viticultura 1889,"Olarte Gochea, Antonio grab.",MR/33-41/261,1889,Maps,Viticultura
34, Avance estadístico sobre cultivo y producción de la vid en España,Junta Consultiva Agronómica (España),1/11657,1891,Monographs,Viticultura
35, Breves indicaciones sobre el cultivo de la cepa americana,"Jordi, Luis Maria",10/159887,1891,Monographs,Viticultura
36, La Viña americana : revista mensual de viticultura práctica : dedicada especialmente a la reconstiución de los viñedos destruidos por la filoxera y al fomento y defensa de la viticultura nacional,NA,HNA/5765,1892,Newspapers/Magazines,Viticultura
37," Manual práctico de viticultura [Texto impreso] : la filoxera y las vides americanas : cultivo de la vid, abonos, enfermedades y su tratamiento","Paniagua, Enrique s. XIX",1/47918,1893,Monographs,Viticultura
38, Tratado del cultivo de la vid y vinificación. Primera parte cultivo de la vid [Texto impreso],"Guyot, Jules 1807-1872",12/845597,1893,Monographs,Viticultura
39, La invasión filoxérica en España y las cepas americanas.  Tomo 1 [Texto impreso],"García de los Salmones, Nicolás 1865-1942",1/41211,1893,Monographs,Viticultura
40," Memoria presentada al Excmo. Sr. Ministro de Fomento por la Comisión oficial encargada de estudiar la viticultura americana en Francia compuesta de ... D. José Alvarez Mariño, D. Rafael Roig y Torres, D. Nicolás García de los Salmones, D. Antonio Ubach y Soler, D. Leopoldo Salas y Amat [Texto impreso]","Roig y Torres, Rafael",2/41451,1894,Monographs,Viticultura
41," Algo de agricultura [Texto impreso] : nociones sobre abonos, viticultura y vinicultura","Torrents y Monner, Antonio 1852-1921",VC/2676/41,1895,Monographs,Viticultura
43, Jerez de la Frontera (Cádiz) Viticultura 1897,Litografía y Tipografía de M. Hurtado (Jerez de la Frontera) ed.,MV/12,1897,Maps,Viticultura
44, Breves observaciones sobre el vivero de vides americanas establecido por la Excma. Diputación Provincial de las Islas Baleares [Texto impreso],NA,VC/2869/90,1900,Monographs,Viticultura
45, Los árboles frutales y la viña [Texto impreso],"Aygalliers, P. d'",1/78831,1902,Monographs,Viticultura
46, Algunos datos y consideraciones sobre los trigos y vinos en España [Texto impreso],"Elías de Molins, José 1848-1928",DGMICRO/57894,1904,Monographs,Viticultura
47, [Estudios prácticos sobre la reconstitución de los viñedos] [Texto impreso] : Adaptación. Afinidad,"Gervais, Prosper 1853-1945",VC/12148/9,1905,Monographs,Viticultura
48, Por la viticultura argentina y por el consumidor argentino [Texto impreso],"Trianes Díaz, José",HA/44852,1908,Monographs,Viticultura
49, Los árboles frutales y la viña [Texto impreso],"Aygalliers, P. d'",12/261625,1910,Monographs,Viticultura
50, España Filoxera 1911,Junta Consultiva Agronómica (España),MV/1/837,1911,Maps,Viticultura
51," Congreso Nacional de Viticultura, que organizado por la Excma. Diputación Foral de Navarra se celebrará en Pamplona en julio de 1912 ... [Texto impreso]",Congreso Nacional de Viticultura 1912 Pamplona,VC/2537/44,1912,Monographs,Viticultura
52, Estadística de las producciones vitícola y olivarera en el año 1912 [Texto impreso],Junta Consultiva Agronómica (España),VC/13288/11,1913,Monographs,Viticultura
53, Vides y vinos [Texto impreso],"Aragón Montejo, José",9/203420,1915,Monographs,Viticultura
54, Viticultura [Texto impreso],"Pacottet, Paul",5/12464&lt;3&gt;,1918,Monographs,Viticultura
55, Material vitícola [Texto impreso],"Brunet, Raymond n. 1870",4/24416,1920,Monographs,Viticultura
56, Viticultura [Texto impreso],"Pacottet, Paul",12/269422,1928,Monographs,Viticultura
